Петровац на Млави	36520	26645	47831	34859	46889	34063	46834	33154	47526	34523	43602	31682	48608	35351	42428	30851	48508	35240	46305	33674	45638	33180	48541	35306
Град Пожаревац	66158	47572	75925	54462	74885	53785	76797	55561	74970	54119	74792	53664	73431	52773	72920	52393	73740	52934	72577	52151	73505	52790	74844	53763
Пожаревац	45988	33438	59717	43138	54948	39835	60834	44744	57796	42312	56190	40668	57410	41624	55721	40402	55744	40367	55911	40523	56042	40602	59079	42788
Костолац	100152	71395	103255	73555	108712	77453	103946	73959	103688	73861	105684	75246	99709	71059	100662	71734	102774	73209	99448	70899	101435	72284	100003	71278
Зајечарска област	47299	34351	52310	37933	52186	37802	54724	39541	53916	39058	53857	39018	55487	40250	52700	38088	56537	40890	53393	38737	55438	40272	58279	42082
Бољевац	45473	33046	49175	35653	52284	37776	54159	39175	50866	36858	53860	38937	52933	38290	50351	36457	54431	39316	48684	35247	52951	38331	54704	39572
Зајечар	48074	34837	55072	39832	55327	39986	58384	42078	58569	42313	57314	41527	59457	43088	57022	41075	61520	44348	57226	41308	60542	43834	64584	46355
Књажевац	42937	31419	46224	33782	43849	31905	45583	33147	45177	32984	44442	32303	47971	34995	44189	32274	46638	34067	46289	34075	45644	33589	47709	34935
Сокобања	54118	39121	56346	40727	57129	41504	59911	43233	56122	40569	59848	43188	58167	42014	55777	40081	59409	42874	56885	41099	58399	42166	59308	42806
Јабланичка област	43291	31337	48181	35144	48389	35241	51597	37586	48884	35538	48913	35501	50868	36648	48922	35682	49464	35917	49133	35764	49245	35847	52751	38325
Бојник	40886	29577	36299	25377	52070	37363	47850	33988	41707	29413	47124	33373	46402	32866	44591	31515	45780	32326	47595	33745	46290	32654	49741	35301
Власотинце	37471	27473	45339	33492	48838	36292	45291	33193	42240	31025	47235	34592	44372	32511	45099	33012	45577	33473	44317	32397	44580	32732	54289	39842
Лебане	40631	29601	42765	31181	43995	31325	43980	32060	43139	31450	44675	32214	42795	31616	42924	31317	43716	31873	43072	31943	42593	31124	46998	33773
Лесковац	44002	31780	49007	35789	47949	34876	53300	38872	48454	35301	50974	36988	52482	37594	49471	36049	50282	36474	50470	36734	50243	36506	51902	37708
